,#,الرقم الوزاري,اسم المدرسة,المرحلة,نوع التعليم,مكتب التعليم,الجنس,الحي,نوع البناء,الفترة,مستقلة/ملحقة,عدد الفصول ,حجم المدرسة,خط العرض,خط الطول,الموقع,CL,O&M,HVAC,All scope
0,1,34069,الطفولة المبكرة بالابتدائية الحادية والاربعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,غليل,حكومي,صباحي,مستقل,26,كبير,21.45221,39.20777,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
1,2,134518,الطفولة المبكرة بابتدائية البراء بن مالك,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,26,كبير,21.46172,39.24018,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
2,3,34114,الطفولة المبكرة بابتدائية السادسة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,20,وسط,21.45385,39.25522,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
3,4,34052,الابتدائية الرابعة والعشرون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,26,كبير,21.47927,39.24313,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
4,5,34277,الابتدائية الثامنة والتسعون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,مستأجر,صباحي,مستقل,18,وسط,21.45769,39.24758,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
5,6,34080,الطفولة المبكرة بابتدائية الثانية والخمسون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,بترومين,حكومي,صباحي,مستقل,25,كبير,21.44454,39.20075,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
6,7,34229,الابتدائية السابعة والستون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مستقل,17,وسط,21.43446,39.25017,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
7,8,34048,الابتدائية العشرون  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,18,وسط,21.45064,39.25221,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
8,9,34105,الابتدائية السابعة والسبعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مستقل,21,وسط,21.46920,39.26941,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
9,10,34097,الطفولة المبكرة بالابتدائية التاسعة والستون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مشترك اساسي,24,كبير,21.47288,39.22246,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
10,11,34068,الطفولة المبكرة بابتدائية الأربعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مشترك اساسي,20,وسط,21.32216,39.24419,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
11,12,34150,الابتدائية الرابعة والعشرون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,23,كبير,21.32242,39.25473,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
12,13,34207,ابتدائية تحفيظ القران الرابعة,المرحلة الإبتدائية,تحفيظ قران,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مشترك اساسي,6,صغير,21.47508,39.26693,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
13,14,34064,الطفولة المبكرة بالابتدائية السادسة والثلاثون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,23,كبير,21.47607,39.23013,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
14,15,34101,الطفولة المبكرة بالابتدائية الثالثة والسبعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مستقل,18,وسط,21.47796,39.21383,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
15,16,34171,الابتدائية الخامسة والعشرون بعد المائة  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,19,وسط,21.29745,39.25913,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
16,17,34111,الابتدائية الثالثة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القوزين,مستأجر,صباحي,مشترك اساسي,13,وسط,21.26340,39.17557,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
17,18,M344115,الثانوية الرابعة نظام مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,16,وسط,21.47557,39.23752,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
18,19,M3934462,الثانوية الخامسة والاربعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,حكومي,صباحي,مشترك اساسي,23,كبير,21.47615,39.26531,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
19,20,M344165,الثانوية التاسعة نظام  - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,غليل,حكومي,صباحي,مشترك اساسي,15,وسط,21.44988,39.20706,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
20,21,M3934426,الثانوية التاسعة عشر - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,17,وسط,21.47827,39.23653,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
21,22,M3935539,الثانوية الخامسة بعد المئة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,16,وسط,21.45408,39.25617,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
22,23,M134059,الثانوية الثالثة والسبعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مشترك اساسي,13,وسط,21.43489,39.25019,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
23,24,M134981,الثانوية الثانية بعد المائة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مشترك اساسي,17,وسط,21.29761,39.26026,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
24,25,M3934418,الثانوية الحادية عشرة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مشترك اساسي,15,وسط,21.47482,39.26497,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
25,26,34299,المتوسطة العشرون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,13,وسط,21.47883,39.23637,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
26,27,35221,المتوسطة الحادية عشر بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,15,وسط,21.32267,39.25479,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
27,28,35528,المتوسطة التاسعة عشرة بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,16,وسط,21.45446,39.25571,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
28,29,34294,المتوسطة الخامسة عشر,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مشترك اساسي,19,وسط,21.47374,39.22274,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
29,30,34302,المتوسطة الثالثة و العشرون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مستقل,16,وسط,21.46981,39.27084,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
